,pt_6_6_4_p3_v7__50,pt_6_6_4_p3_v7__100,pt_6_6_4_p3_v7__150,pt_6_6_4_p3_v7__200
pt_6_6_4_p4_v8__50,0,0,0,0
pt_6_6_4_p4_v8__100,0,0,0,0
